age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[20, 40)",Private,185908,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,55,North America, >50K
"[20, 40)",Private,190040,Bachelors,13,Never-married,Machine-op-inspct, Not-in-family,*,Female,0,0,40,North America, <=50K
"[20, 40)",Self-emp-not-inc,189346,Some-college,10,Divorced,Craft-repair, Not-in-family,*,Male,2202,0,50,North America, <=50K
"[40, 60)",Private,108435,Masters,14,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,47,North America, >50K
"[40, 60)",Self-emp-not-inc,93664,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,15024,0,60,North America, >50K
"[20, 40)",Private,148431,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 60)",Private,71417,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,3103,0,40,North America, >50K
"[40, 60)",Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales, Not-in-family,*,Male,0,0,42,North America, <=50K
"[20, 40)",Private,271013,HS-grad,9,Divorced,Handlers-cleaners, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,152529,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, >50K
"[40, 60)",Private,99212,Assoc-voc,11,Married-civ-spouse,Exec-managerial, Husband,*,Male,3103,0,48,North America, >50K
"[40, 60)",Self-emp-inc,179951,Prof-school,15,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,439919,9th,5,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,North America, <=50K
"[20, 40)",State-gov,93589,HS-grad,9,Divorced,Protective-serv, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,227594,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,30,North America, <=50K
"[20, 40)",Private,50295,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,48,North America, <=50K
"[20, 40)",Local-gov,159187,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,35,North America, <=50K
"[40, 60)",Private,167963,HS-grad,9,Never-married,Adm-clerical, Unmarried,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,237903,Bachelors,13,Never-married,Prof-specialty, Unmarried,*,Female,0,0,40,North America, <=50K
"[20, 40)",Federal-gov,129707,Some-college,10,Never-married,Exec-managerial, Not-in-family,*,Male,0,0,50,North America, <=50K
"[40, 60)",Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair, Husband,*,Male,5178,0,40,North America, >50K
"[20, 40)",Private,190511,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,North America, >50K
"[20, 40)",Private,260254,HS-grad,9,Never-married,Sales, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Federal-gov,329426,Bachelors,13,Never-married,Exec-managerial, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,167309,Bachelors,13,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,1902,40,North America, >50K
"[20, 40)",Private,456399,Assoc-acdm,12,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,160035,Some-college,10,Divorced,Machine-op-inspct, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,107231,Prof-school,15,Married-civ-spouse,Exec-managerial, Husband,*,Male,99999,0,50,North America, >50K
"[40, 60)",Federal-gov,232997,Some-college,10,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,65,North America, >50K
"[40, 60)",Self-emp-inc,145290,HS-grad,9,Married-civ-spouse,Other-service, Husband,*,Male,0,0,40,North America, >50K
"[40, 60)",Local-gov,257855,11th,7,Married-civ-spouse,Other-service, Husband,*,Male,0,0,50,North America, <=50K
"[20, 40)",Private,347530,HS-grad,9,Never-married,Other-service, Unmarried,*,Female,0,0,25,North America, <=50K
"[40, 60)",Private,155659,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,North America, >50K
"[20, 40)",?,193416,Some-college,10,Never-married,?, Own-child,*,Female,0,0,40,North America, <=50K
"[20, 40)",Local-gov,206297,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,North America, >50K
"[20, 40)",Private,57052,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,2885,0,40,North America, <=50K
"[20, 40)",Private,154941,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,40,North America, >50K
"[20, 40)",State-gov,262664,Bachelors,13,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,North America, >50K
"[20, 40)",Private,162494,Bachelors,13,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 60)",State-gov,227734,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,3464,0,40,North America, <=50K
"[20, 40)",Private,283499,HS-grad,9,Never-married,Transport-moving, Not-in-family,*,Male,0,0,35,North America, <=50K
"[40, 60)",Self-emp-inc,186410,Prof-school,15,Never-married,Other-service, Not-in-family,*,Male,0,0,60,North America, >50K
"[20, 40)",Private,33887,Some-college,10,Divorced,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,278151,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,113466,HS-grad,9,Never-married,Sales, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,172047,HS-grad,9,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",State-gov,28366,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,29814,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,139268,Some-college,10,Never-married,Craft-repair, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,152461,Bachelors,13,Never-married,Prof-specialty, Unmarried,*,Female,14344,0,50,North America, >50K
"[20, 40)",Private,336793,Bachelors,13,Never-married,Adm-clerical, Other-relative,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,24266,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,*,Male,7688,0,40,North America, >50K
"[40, 60)",Private,110970,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,1902,40,North America, >50K
"[20, 40)",Private,188540,Bachelors,13,Never-married,Exec-managerial, Not-in-family,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,161510,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,7298,0,40,North America, >50K
"[40, 60)",Private,104996,7th-8th,4,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,50,North America, <=50K
"[20, 40)",Private,217961,Some-college,10,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,15,North America, <=50K
"[20, 40)",Self-emp-not-inc,326400,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,30,North America, <=50K
"[20, 40)",Private,99374,Some-college,10,Divorced,Craft-repair, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",?,224421,Some-college,10,Divorced,?, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,33088,11th,7,Never-married,Handlers-cleaners, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,93056,7th-8th,4,Divorced,Handlers-cleaners, Own-child,*,Male,0,0,40,North America, <=50K
"[40, 60)",Private,386136,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,35,North America, <=50K
"[20, 40)",?,195767,HS-grad,9,Never-married,?, Own-child,*,Male,0,0,40,North America, <=50K
"[40, 60)",Self-emp-not-inc,149220,Some-college,10,Married-civ-spouse,Farming-fishing, Husband,*,Male,0,0,75,North America, <=50K
"[20, 40)",Private,174717,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,North America, >50K
"[20, 40)",Local-gov,353270,Assoc-voc,11,Never-married,Craft-repair, Own-child,*,Female,0,0,40,North America, <=50K
"[40, 60)",Self-emp-not-inc,185407,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,50,North America, >50K
"[20, 40)",Self-emp-not-inc,137527,Doctorate,16,Never-married,Prof-specialty, Not-in-family,*,Female,0,2559,60,North America, >50K
"[20, 40)",Private,85389,HS-grad,9,Never-married,Tech-support, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,159187,HS-grad,9,Divorced,Transport-moving, Own-child,*,Male,0,0,40,North America, <=50K
"[20, 40)",?,174461,HS-grad,9,Never-married,?, Own-child,*,Female,0,0,5,North America, <=50K
"[40, 60)",Private,87284,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,7298,0,35,North America, >50K
"[40, 60)",Private,38950,Bachelors,13,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,120238,Bachelors,13,Never-married,Sales, Other-relative,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,117526,Some-college,10,Never-married,Farming-fishing, Not-in-family,*,Female,0,0,45,North America, <=50K
"[40, 60)",Private,268553,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,7298,0,40,North America, >50K
"[40, 60)",Private,163814,10th,6,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,North America, <=50K
"[20, 40)",Private,36601,Some-college,10,Never-married,Other-service, Unmarried,*,Female,0,0,35,North America, <=50K
"[40, 60)",Private,276664,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,1902,50,North America, >50K
"[20, 40)",Private,191777,Masters,14,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[20, 40)",Private,204501,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,55,North America, >50K
"[40, 60)",Self-emp-inc,168796,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,55,North America, <=50K
"[20, 40)",Self-emp-inc,127651,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,1887,48,North America, >50K
"[40, 60)",Private,141570,Masters,14,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,1977,40,North America, >50K
"[40, 60)",State-gov,160369,HS-grad,9,Never-married,Protective-serv, Not-in-family,*,Male,0,0,40,North America, >50K
"[40, 60)",Federal-gov,27432,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,40,North America, >50K
"[40, 60)",State-gov,118447,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,60,North America, >50K
"[20, 40)",Private,199419,Some-college,10,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[20, 40)",State-gov,318982,Masters,14,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,1848,40,North America, >50K
"[40, 60)",Private,328216,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,North America, >50K
